Model_Type,Sample_Rate,File_Name,pesq,stoi
44khz,44100,0016.wav,3.9571406841278076,0.9122559335915398
44khz,44100,0016.wav,3.9606776237487793,0.896127627371775
44khz,44100,0016.wav,3.3577606678009033,0.8722404043561675
44khz,44100,0016.wav,3.903144121170044,1e-05
44khz,44100,0016.wav,3.8356683254241943,0.9091989579278767
44khz,44100,0016.wav,3.908928394317627,0.9497596119037133
44khz,44100,0016.wav,3.923370599746704,0.8878788244037045
44khz,44100,0016.wav,3.84220814704895,0.9571529241567399
44khz,44100,0016.wav,3.302669048309326,0.9100826231317151
44khz,44100,0016.wav,3.545313596725464,0.9477727631768066
44khz,44100,0016.wav,3.986525297164917,0.9705763455745805
44khz,44100,0016.wav,3.784583330154419,0.9574058757032999
44khz,44100,0016.wav,4.1921305656433105,0.8915159831936034
44khz,44100,0016.wav,3.946877956390381,0.9132724930045765
44khz,44100,0016.wav,3.758897304534912,0.948672003440245
44khz,44100,0016.wav,3.9630489349365234,0.9014525068395234
44khz,44100,0016.wav,3.644939422607422,0.8916878662947625
44khz,44100,0016.wav,3.7417643070220947,0.9374780468559696
44khz,44100,0016.wav,3.762827157974243,0.8515188715561032
44khz,44100,0016.wav,3.9488964080810547,0.9514564311686116
44khz,44100,0016.wav,3.8115627765655518,0.9095447856895786
44khz,44100,0016.wav,4.167423248291016,0.9808873628070747
44khz,44100,0016.wav,3.713717460632324,0.8906692534303128
44khz,44100,0016.wav,3.799316644668579,0.9282543737877454
44khz,44100,0016.wav,3.387967824935913,0.8750618697883468
44khz,44100,0016.wav,3.9384124279022217,0.8874466256306913
44khz,44100,0016.wav,3.6295692920684814,0.8936592839759798
44khz,44100,0016.wav,3.473102569580078,0.9129751360149494
44khz,44100,0016.wav,4.073498249053955,0.8969134267468787
44khz,44100,0016.wav,4.148224830627441,0.8906478661084372
44khz,44100,0016.wav,3.6462628841400146,0.9572945775721513
44khz,44100,0016.wav,3.783421039581299,0.8950080327641439
44khz,44100,0016.wav,3.6559877395629883,0.8763884042911534
44khz,44100,0016.wav,3.5992910861968994,0.9110991778309454
44khz,44100,0016.wav,3.9824447631835938,0.8634614410427928
44khz,44100,0016.wav,3.6351311206817627,0.8857644403568632
44khz,44100,0016.wav,4.170638084411621,0.9687724241398095
44khz,44100,0016.wav,4.063614368438721,0.9555668709323917
44khz,44100,0016.wav,3.712205171585083,0.9494697040487211
44khz,44100,0016.wav,3.75667667388916,0.913344832902061
44khz,44100,0016.wav,3.9245355129241943,0.9650896883874582
44khz,44100,0016.wav,4.110623359680176,0.911793044526273
44khz,44100,0016.wav,3.3982784748077393,0.9303148297935101
44khz,44100,0016.wav,3.9415125846862793,0.9571811137121231
44khz,44100,0016.wav,3.6355247497558594,0.8782138074093849
44khz,44100,0016.wav,3.9818623065948486,0.8943361486944352
44khz,44100,0016.wav,3.8905181884765625,0.9507721462168272
44khz,44100,0016.wav,3.7516064643859863,0.8939853081280472
44khz,44100,0016.wav,3.653316020965576,0.8529539696449491
44khz,44100,0016.wav,4.074131488800049,0.950608864389149
44khz,44100,0016.wav,3.2989003658294678,0.8717426279990517
44khz,44100,0016.wav,3.8414623737335205,0.9566623171628867
44khz,44100,0016.wav,4.057683944702148,0.8853785298938266
44khz,44100,0016.wav,3.7153375148773193,0.9013140685783406
44khz,44100,0016.wav,3.9434902667999268,0.8724663807272645
44khz,44100,0016.wav,4.012677192687988,0.8283692966011713
44khz,44100,0016.wav,3.9873082637786865,0.9334256736158778
44khz,44100,0016.wav,3.6664257049560547,0.8075310356508485
44khz,44100,0016.wav,3.9245307445526123,0.9611045702279469
44khz,44100,0016.wav,4.145658493041992,0.9176861719978664
44khz,44100,0016.wav,3.9475131034851074,0.9111750721947074
44khz,44100,0016.wav,3.9396800994873047,0.890310125353315
44khz,44100,0016.wav,3.6093502044677734,0.9053042489241124
44khz,44100,0016.wav,4.05523157119751,0.8450142800849149
44khz,44100,0016.wav,4.20609188079834,0.9778721578744253
44khz,44100,0016.wav,4.015767574310303,0.6930575262046291
44khz,44100,0016.wav,3.7857909202575684,0.8972647936279301
44khz,44100,0016.wav,4.228944778442383,0.9672046644345224
44khz,44100,0016.wav,3.6793553829193115,0.8824260168812814
44khz,44100,0016.wav,3.9231622219085693,0.8525805604316959
44khz,44100,0016.wav,3.5657224655151367,1e-05
44khz,44100,0016.wav,3.803149700164795,0.8444835222799687
44khz,44100,0016.wav,3.9012372493743896,0.971580518750867
44khz,44100,0016.wav,3.9972238540649414,0.9495249431757862
44khz,44100,0016.wav,4.182232856750488,0.963240163873876
44khz,44100,0016.wav,4.044129848480225,0.8607611521838008
44khz,44100,0016.wav,3.921257257461548,0.9191989752144506
44khz,44100,0016.wav,3.711421251296997,0.932453119489231
44khz,44100,0016.wav,3.8241987228393555,0.8315995530368573
